who,overlap,years
USA,France,407
Netherlands,UK,26
Austria,Poland,3
Netherlands,Germany,3
Netherlands,France,28
Netherlands,Norway,1
France,Switzerland,43
USA,Switzerland,3
USA,Canada,5
USA,Italy,9
Netherlands,Denmark,4
Italy,Germany,18
Scotland,USA,1
Germany,USA,22
Germany,Sweden,1
Italy,Japan,2
UK,USA,31
France,USA,15
Germany,Switzerland,3
Argentina,Italy,3
USA,UK,50
USA,Sweden,1
UK,Italy,3
Switzerland,UK,4
USA,Germany,25
Switzerland,France,8
Spain,Argentina,1
Denmark,USA,2
Italy,UK,2
Mexico,USA,4
Spain,USA,7
Latvia,Russia,13
France,Germany,5
Germany,Austria,5
USA,Belgium,2
Czech Republic,USA,2
Chile,Belgium,8
Ukraine,Russia,7
France,Russia,7
Georgia,Russia,1
USA,Russia,26
Italy,USA,56
Russia,Switzerland,1
France,Spain,5
Spain,France,1
Russia,Ukraine,1
Austria,France,3
USA,Spain,2
Austria,Germany,6
Belgium,Netherlands,1
Spain,Poland,1
Argentina,Austria,1
UK,Spain,1
Germany,France,30
Portugal,France,1
UK,France,15
France,UK,1
Switzerland,Germany,1
France,Italy,6
Belgium,USA,1
Spain,Cuba,1
Finland,Sweden,1
Denmark,UK,1
Russia,Germany,1
UK,Australia,1
Yugoslavia,USA,1
Italy,Netherlands,5
Switzerland,USA,3
Netherlands,Japan,1
Germany,Netherlands,4
USA,Netherlands,72
USA,Brazil,1
UK,Iran,5
Japan,Austria,1
UK,Canada,1
UK,New Zeland,1
Poland,UK,1
Switzerland,Italy,2
Spain,Italy,1
South Korea,Japan,1
Germany,Denmark,3
Uruguay,USA,1
USA,Ireland,1
Norway,Denmark,1
USA,Austria,3
USA,South Korea,1
Belgium,France,1
Austria,USA,2
France,Austria,1
Germany,Australia,1
Austria,Czech Republic,1
Israel,USA,1
Australia,USA,2
USA,Argentina,5
Hungary,USA,1
Scotland,France,1
Scotland,Canada,1
Canada,Yugoslavia,2
Israel,Germany,5
Germany,UK,6
Portugal,UK,3
UK,Austria,2
South Africa,USA,5
UK,Poland,7
UK,Scotland,1
USA,Cuba,3
Iceland,USA,16
Yugoslavia,Germany,1
USA,Japan,9
Netherlands,Scotland,1
USA,Iceland,1
Japan,Canada,1
Netherlands,Belgium,1
Switzerland,Austria,58
Belgium,Mexico,1
USA,Denmark,11
USA,Vietnam,2
Netherlands,Switzerland,3
Netherlands,USA,2
Germany,Czech Republic,2
Japan,USA,9
USA,Czech Republic,4
USA,Lithuania,2
Lithuania,USA,1
Germany,Poland,3
Germany,Romania,2
Ireland, Republic of,13
Belgium,Denmark,2
Norway,Austria,2
USA,Norway,1
Japan,Germany,1
Yugoslavia,Croatia,1
France,Croatia,1
Switzerland,Croatia,1
USA,Taiwan,1
Canada,USA,5
UK,Germany,1
UK,India,1
Brazil,USA,1
China,USA,1
Mexico,Argentina,2
France,Netherlands,1
Iran,Iraq,1
UK,Brazil,1
USA,Mexico,12
France,Hungary,25
Japan,France,94
Italy,Israel,3
Canada,France,41
Italy,France,48
Israel,Belgium,6
Chile,Argentina,3
Iceland,France,1
Brazil,Mexico,1
Brazil,Uruguay,2
France,Belgium,1
Japan,Ireland,1
Australia,UK,1
Italy,Spain,2
New Zeland,USA,1
Germany,Canada,4
Egypt,Italy,1
Brazil,Argentina,1
Brazil,Venezuela,2
Brazil,Chile,1
Brazil,Cuba,1
USA,Croatia,12
Germany,Spain,1
China,Japan,16
UK,Russia,1
Switzerland,Morocco ,1
